name,age,ticket
"Allen, Miss. Elisabeth Walton",29.0,24160
"Allison, Master. Hudson Trevor",0.9167,113781
"Allison, Miss. Helen Loraine",2.0,113781
"Allison, Mr. Hudson Joshua Creighton",30.0,113781
"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",25.0,113781
"Anderson, Mr. Harry",48.0,19952
"Andrews, Miss. Kornelia Theodosia",63.0,13502
"Andrews, Mr. Thomas Jr",39.0,112050
"Appleton, Mrs. Edward Dale (Charlotte Lamson)",53.0,11769
"Artagaveytia, Mr. Ramon",71.0,PC 17609
"Astor, Col. John Jacob",47.0,PC 17757
"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",18.0,PC 17757
"Aubart, Mme. Leontine Pauline",24.0,PC 17477
"Barber, Miss. Ellen ""Nellie""",26.0,19877
"Barkworth, Mr. Algernon Henry Wilson",80.0,27042
"Baumann, Mr. John D",,PC 17318
"Baxter, Mr. Quigg Edmond",24.0,PC 17558
"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",50.0,PC 17558
"Bazzani, Miss. Albina",32.0,11813
"Beattie, Mr. Thomson",36.0,13050
"Beckwith, Mr. Richard Leonard",37.0,11751
"Beckwith, Mrs. Richard Leonard (Sallie Monypeny)",47.0,11751
"Behr, Mr. Karl Howell",26.0,111369
"Bidois, Miss. Rosalie",42.0,PC 17757
"Bird, Miss. Ellen",29.0,PC 17483
"Birnbaum, Mr. Jakob",25.0,13905
"Bishop, Mr. Dickinson H",25.0,11967
"Bishop, Mrs. Dickinson H (Helen Walton)",19.0,11967
"Bissette, Miss. Amelia",35.0,PC 17760
"Bjornstrom-Steffansson, Mr. Mauritz Hakan",28.0,110564
"Blackwell, Mr. Stephen Weart",45.0,113784
"Blank, Mr. Henry",40.0,112277
"Bonnell, Miss. Caroline",30.0,36928
"Bonnell, Miss. Elizabeth",58.0,113783
"Borebank, Mr. John James",42.0,110489
"Bowen, Miss. Grace Scott",45.0,PC 17608
"Bowerman, Miss. Elsie Edith",22.0,113505
"Bradley, Mr. George (""George Arthur Brayton"")",,111427
"Brady, Mr. John Bertram",41.0,113054
"Brandeis, Mr. Emil",48.0,PC 17591
"Brewe, Dr. Arthur Jackson",,112379
"Brown, Mrs. James Joseph (Margaret Tobin)",44.0,PC 17610
"Brown, Mrs. John Murray (Caroline Lane Lamson)",59.0,11769
"Bucknell, Mrs. William Robert (Emma Eliza Ward)",60.0,11813
"Burns, Miss. Elizabeth Margaret",41.0,16966
"Butt, Major. Archibald Willingham",45.0,113050
"Cairns, Mr. Alexander",,113798
"Calderhead, Mr. Edward Pennington",42.0,PC 17476
"Candee, Mrs. Edward (Helen Churchill Hungerford)",53.0,PC 17606
"Cardeza, Mr. Thomas Drake Martinez",36.0,PC 17755
"Cardeza, Mrs. James Warburton Martinez (Charlotte Wardle Drake)",58.0,PC 17755
"Carlsson, Mr. Frans Olof",33.0,695
"Carrau, Mr. Francisco M",28.0,113059
"Carrau, Mr. Jose Pedro",17.0,113059
"Carter, Master. William Thornton II",11.0,113760
"Carter, Miss. Lucile Polk",14.0,113760
"Carter, Mr. William Ernest",36.0,113760
"Carter, Mrs. William Ernest (Lucile Polk)",36.0,113760
"Case, Mr. Howard Brown",49.0,19924
"Cassebeer, Mrs. Henry Arthur Jr (Eleanor Genevieve Fosdick)",,17770
"Cavendish, Mr. Tyrell William",36.0,19877
"Cavendish, Mrs. Tyrell William (Julia Florence Siegel)",76.0,19877
"Chaffee, Mr. Herbert Fuller",46.0,W.E.P. 5734
"Chaffee, Mrs. Herbert Fuller (Carrie Constance Toogood)",47.0,W.E.P. 5734
"Chambers, Mr. Norman Campbell",27.0,113806
"Chambers, Mrs. Norman Campbell (Bertha Griggs)",33.0,113806
"Chaudanson, Miss. Victorine",36.0,PC 17608
"Cherry, Miss. Gladys",30.0,110152
"Chevre, Mr. Paul Romaine",45.0,PC 17594
"Chibnall, Mrs. (Edith Martha Bowerman)",,113505
"Chisholm, Mr. Roderick Robert Crispin",,112051
"Clark, Mr. Walter Miller",27.0,13508
"Clark, Mrs. Walter Miller (Virginia McDowell)",26.0,13508
"Cleaver, Miss. Alice",22.0,113781
"Clifford, Mr. George Quincy",,110465
"Colley, Mr. Edward Pomeroy",47.0,5727
"Compton, Miss. Sara Rebecca",39.0,PC 17756
"Compton, Mr. Alexander Taylor Jr",37.0,PC 17756
"Compton, Mrs. Alexander Taylor (Mary Eliza Ingersoll)",64.0,PC 17756
"Cornell, Mrs. Robert Clifford (Malvina Helen Lamson)",55.0,11770
"Crafton, Mr. John Bertram",,113791
"Crosby, Capt. Edward Gifford",70.0,WE/P 5735
"Crosby, Miss. Harriet R",36.0,WE/P 5735
"Crosby, Mrs. Edward Gifford (Catherine Elizabeth Halstead)",64.0,112901
"Cumings, Mr. John Bradley",39.0,PC 17599
"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",38.0,PC 17599
"Daly, Mr. Peter Denis ",51.0,113055
"Daniel, Mr. Robert Williams",27.0,113804
"Daniels, Miss. Sarah",33.0,113781
"Davidson, Mr. Thornton",31.0,F.C. 12750
"Davidson, Mrs. Thornton (Orian Hays)",27.0,F.C. 12750
"Dick, Mr. Albert Adrian",31.0,17474
"Dick, Mrs. Albert Adrian (Vera Gillespie)",17.0,17474
"Dodge, Dr. Washington",53.0,33638
"Dodge, Master. Washington",4.0,33638
"Dodge, Mrs. Washington (Ruth Vidaver)",54.0,33638
"Douglas, Mr. Walter Donald",50.0,PC 17761
"Douglas, Mrs. Frederick Charles (Mary Helene Baxter)",27.0,PC 17558
"Douglas, Mrs. Walter Donald (Mahala Dutton)",48.0,PC 17761
"Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")",48.0,11755
"Duff Gordon, Sir. Cosmo Edmund (""Mr Morgan"")",49.0,PC 17485
"Dulles, Mr. William Crothers",39.0,PC 17580
"Earnshaw, Mrs. Boulton (Olive Potter)",23.0,11767
"Endres, Miss. Caroline Louise",38.0,PC 17757
"Eustis, Miss. Elizabeth Mussey",54.0,36947
"Evans, Miss. Edith Corse",36.0,PC 17531
"Farthing, Mr. John",,PC 17483
"Flegenheim, Mrs. Alfred (Antoinette)",,PC 17598
"Fleming, Miss. Margaret",,17421
"Flynn, Mr. John Irwin (""Irving"")",36.0,PC 17474
"Foreman, Mr. Benjamin Laventall",30.0,113051
"Fortune, Miss. Alice Elizabeth",24.0,19950
"Fortune, Miss. Ethel Flora",28.0,19950
"Fortune, Miss. Mabel Helen",23.0,19950
"Fortune, Mr. Charles Alexander",19.0,19950
"Fortune, Mr. Mark",64.0,19950
"Fortune, Mrs. Mark (Mary McDougald)",60.0,19950
"Francatelli, Miss. Laura Mabel",30.0,PC 17485
"Franklin, Mr. Thomas Parham",,113778
"Frauenthal, Dr. Henry William",50.0,PC 17611
"Frauenthal, Mr. Isaac Gerald",43.0,17765
"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",,PC 17611
"Frolicher, Miss. Hedwig Margaritha",22.0,13568
"Frolicher-Stehli, Mr. Maxmillian",60.0,13567
"Frolicher-Stehli, Mrs. Maxmillian (Margaretha Emerentia Stehli)",48.0,13567
"Fry, Mr. Richard",,112058
"Futrelle, Mr. Jacques Heath",37.0,113803
"Futrelle, Mrs. Jacques Heath (Lily May Peel)",35.0,113803
"Gee, Mr. Arthur H",47.0,111320
"Geiger, Miss. Amalie",35.0,113503
"Gibson, Miss. Dorothy Winifred",22.0,112378
"Gibson, Mrs. Leonard (Pauline C Boeson)",45.0,112378
"Giglio, Mr. Victor",24.0,PC 17593
"Goldenberg, Mr. Samuel L",49.0,17453
"Goldenberg, Mrs. Samuel L (Edwiga Grabowska)",,17453
"Goldschmidt, Mr. George B",71.0,PC 17754
"Gracie, Col. Archibald IV",53.0,113780
"Graham, Miss. Margaret Edith",19.0,112053
"Graham, Mr. George Edward",38.0,PC 17582
"Graham, Mrs. William Thompson (Edith Junkins)",58.0,PC 17582
"Greenfield, Mr. William Bertram",23.0,PC 17759
"Greenfield, Mrs. Leo David (Blanche Strouse)",45.0,PC 17759
"Guggenheim, Mr. Benjamin",46.0,PC 17593
"Harder, Mr. George Achilles",25.0,11765
"Harder, Mrs. George Achilles (Dorothy Annan)",25.0,11765
"Harper, Mr. Henry Sleeper",48.0,PC 17572
"Harper, Mrs. Henry Sleeper (Myna Haxtun)",49.0,PC 17572
"Harrington, Mr. Charles H",,113796
"Harris, Mr. Henry Birkhardt",45.0,36973
"Harris, Mrs. Henry Birkhardt (Irene Wallach)",35.0,36973
"Harrison, Mr. William",40.0,112059
"Hassab, Mr. Hammad",27.0,PC 17572
"Hawksford, Mr. Walter James",,16988
"Hays, Miss. Margaret Bechstein",24.0,11767
"Hays, Mr. Charles Melville",55.0,12749
"Hays, Mrs. Charles Melville (Clara Jennings Gregg)",52.0,12749
"Head, Mr. Christopher",42.0,113038
"Hilliard, Mr. Herbert Henry",,17463
"Hipkins, Mr. William Edward",55.0,680
"Hippach, Miss. Jean Gertrude",16.0,111361
"Hippach, Mrs. Louis Albert (Ida Sophia Fischer)",44.0,111361
"Hogeboom, Mrs. John C (Anna Andrews)",51.0,13502
"Holverson, Mr. Alexander Oskar",42.0,113789
"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",35.0,113789
"Homer, Mr. Harry (""Mr E Haven"")",35.0,111426
"Hoyt, Mr. Frederick Maxfield",38.0,19943
"Hoyt, Mr. William Fisher",,PC 17600
"Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby)",35.0,19943
"Icard, Miss. Amelie",38.0,113572
"Isham, Miss. Ann Elizabeth",50.0,PC 17595
"Ismay, Mr. Joseph Bruce",49.0,112058
"Jones, Mr. Charles Cresson",46.0,694
"Julian, Mr. Henry Forbes",50.0,113044
"Keeping, Mr. Edwin",32.5,113503
"Kent, Mr. Edward Austin",58.0,11771
"Kenyon, Mr. Frederick R",41.0,17464
"Kenyon, Mrs. Frederick R (Marion)",,17464
"Kimball, Mr. Edwin Nelson Jr",42.0,11753
"Kimball, Mrs. Edwin Nelson Jr (Gertrude Parsons)",45.0,11753
"Klaber, Mr. Herman",,113028
"Kreuchen, Miss. Emilie",39.0,24160
"Leader, Dr. Alice (Farnham)",49.0,17465
"LeRoy, Miss. Bertha",30.0,PC 17761
"Lesurer, Mr. Gustave J",35.0,PC 17755
"Lewy, Mr. Ervin G",,PC 17612
"Lindeberg-Lind, Mr. Erik Gustaf (""Mr Edward Lingrey"")",42.0,17475
"Lindstrom, Mrs. Carl Johan (Sigrid Posse)",55.0,112377
"Lines, Miss. Mary Conover",16.0,PC 17592
"Lines, Mrs. Ernest H (Elizabeth Lindsey James)",51.0,PC 17592
"Long, Mr. Milton Clyde",29.0,113501
"Longley, Miss. Gretchen Fiske",21.0,13502
"Loring, Mr. Joseph Holland",30.0,113801
"Lurette, Miss. Elise",58.0,PC 17569
"Madill, Miss. Georgette Alexandra",15.0,24160
"Maguire, Mr. John Edward",30.0,110469
"Maioni, Miss. Roberta",16.0,110152
"Marechal, Mr. Pierre",,11774
"Marvin, Mr. Daniel Warner",19.0,113773
"Marvin, Mrs. Daniel Warner (Mary Graham Carmichael Farquarson)",18.0,113773
"Mayne, Mlle. Berthe Antonine (""Mrs de Villiers"")",24.0,PC 17482
"McCaffry, Mr. Thomas Francis",46.0,13050
"McCarthy, Mr. Timothy J",54.0,17463
"McGough, Mr. James Robert",36.0,PC 17473
"Meyer, Mr. Edgar Joseph",28.0,PC 17604
"Meyer, Mrs. Edgar Joseph (Leila Saks)",,PC 17604
"Millet, Mr. Francis Davis",65.0,13509
"Minahan, Dr. William Edward",44.0,19928
"Minahan, Miss. Daisy E",33.0,19928
"Minahan, Mrs. William Edward (Lillian E Thorpe)",37.0,19928
"Mock, Mr. Philipp Edmund",30.0,13236
"Molson, Mr. Harry Markland",55.0,113787
"Moore, Mr. Clarence Bloomfield",47.0,113796
"Natsch, Mr. Charles H",37.0,PC 17596
"Newell, Miss. Madeleine",31.0,35273
"Newell, Miss. Marjorie",23.0,35273
"Newell, Mr. Arthur Webster",58.0,35273
"Newsom, Miss. Helen Monypeny",19.0,11752
"Nicholson, Mr. Arthur Ernest",64.0,693
"Oliva y Ocana, Dona. Fermina",39.0,PC 17758
"Omont, Mr. Alfred Fernand",,F.C. 12998
"Ostby, Miss. Helene Ragnhild",22.0,113509
"Ostby, Mr. Engelhart Cornelius",65.0,113509
"Ovies y Rodriguez, Mr. Servando",28.5,PC 17562
"Parr, Mr. William Henry Marsh",,112052
"Partner, Mr. Austen",45.5,113043
"Payne, Mr. Vivian Ponsonby",23.0,12749
"Pears, Mr. Thomas Clinton",29.0,113776
"Pears, Mrs. Thomas (Edith Wearne)",22.0,113776
"Penasco y Castellana, Mr. Victor de Satode",18.0,PC 17758
"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",17.0,PC 17758
"Perreault, Miss. Anne",30.0,12749
"Peuchen, Major. Arthur Godfrey",52.0,113786
"Porter, Mr. Walter Chamberlain",47.0,110465
"Potter, Mrs. Thomas Jr (Lily Alexenia Wilson)",56.0,11767
"Reuchlin, Jonkheer. John George",38.0,19972
"Rheims, Mr. George Alexander Lucien",,PC 17607
"Ringhini, Mr. Sante",22.0,PC 17760
"Robbins, Mr. Victor",,PC 17757
"Robert, Mrs. Edward Scott (Elisabeth Walton McMillan)",43.0,24160
"Roebling, Mr. Washington Augustus II",31.0,PC 17590
"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",45.0,111428
"Rood, Mr. Hugh Roscoe",,113767
"Rosenbaum, Miss. Edith Louise",33.0,PC 17613
"Rosenshine, Mr. George (""Mr George Thorne"")",46.0,PC 17585
"Ross, Mr. John Hugo",36.0,13049
"Rothes, the Countess. of (Lucy Noel Martha Dyer-Edwards)",33.0,110152
"Rothschild, Mr. Martin",55.0,PC 17603
"Rothschild, Mrs. Martin (Elizabeth L. Barrett)",54.0,PC 17603
"Rowe, Mr. Alfred G",33.0,113790
"Ryerson, Master. John Borie",13.0,PC 17608
"Ryerson, Miss. Emily Borie",18.0,PC 17608
"Ryerson, Miss. Susan Parker ""Suzette""",21.0,PC 17608
"Ryerson, Mr. Arthur Larned",61.0,PC 17608
"Ryerson, Mrs. Arthur Larned (Emily Maria Borie)",48.0,PC 17608
"Saalfeld, Mr. Adolphe",,19988
"Sagesser, Mlle. Emma",24.0,PC 17477
"Salomon, Mr. Abraham L",,111163
"Schabert, Mrs. Paul (Emma Mock)",35.0,13236
"Serepeca, Miss. Augusta",30.0,113798
"Seward, Mr. Frederic Kimber",34.0,113794
"Shutes, Miss. Elizabeth W",40.0,PC 17582
"Silverthorne, Mr. Spencer Victor",35.0,PC 17475
"Silvey, Mr. William Baird",50.0,13507
"Silvey, Mrs. William Baird (Alice Munger)",39.0,13507
"Simonius-Blumer, Col. Oberst Alfons",56.0,13213
"Sloper, Mr. William Thompson",28.0,113788
"Smart, Mr. John Montgomery",56.0,113792
"Smith, Mr. James Clinch",56.0,17764
"Smith, Mr. Lucien Philip",24.0,13695
"Smith, Mr. Richard William",,113056
"Smith, Mrs. Lucien Philip (Mary Eloise Hughes)",18.0,13695
"Snyder, Mr. John Pillsbury",24.0,21228
"Snyder, Mrs. John Pillsbury (Nelle Stevenson)",23.0,21228
"Spedden, Master. Robert Douglas",6.0,16966
"Spedden, Mr. Frederic Oakley",45.0,16966
"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",40.0,16966
"Spencer, Mr. William Augustus",57.0,PC 17569
"Spencer, Mrs. William Augustus (Marie Eugenie)",,PC 17569
"Stahelin-Maeglin, Dr. Max",32.0,13214
"Stead, Mr. William Thomas",62.0,113514
"Stengel, Mr. Charles Emil Henry",54.0,11778
"Stengel, Mrs. Charles Emil Henry (Annie May Morris)",43.0,11778
"Stephenson, Mrs. Walter Bertram (Martha Eustis)",52.0,36947
"Stewart, Mr. Albert A",,PC 17605
"Stone, Mrs. George Nelson (Martha Evelyn)",62.0,113572
"Straus, Mr. Isidor",67.0,PC 17483
"Straus, Mrs. Isidor (Rosalie Ida Blun)",63.0,PC 17483
"Sutton, Mr. Frederick",61.0,36963
"Swift, Mrs. Frederick Joel (Margaret Welles Barron)",48.0,17466
"Taussig, Miss. Ruth",18.0,110413
"Taussig, Mr. Emil",52.0,110413
"Taussig, Mrs. Emil (Tillie Mandelbaum)",39.0,110413
"Taylor, Mr. Elmer Zebley",48.0,19996
"Taylor, Mrs. Elmer Zebley (Juliet Cummins Wright)",,19996
"Thayer, Mr. John Borland",49.0,17421
"Thayer, Mr. John Borland Jr",17.0,17421
"Thayer, Mrs. John Borland (Marian Longstreth Morris)",39.0,17421
"Thorne, Mrs. Gertrude Maybelle",,PC 17585
"Tucker, Mr. Gilbert Milligan Jr",31.0,2543
"Uruchurtu, Don. Manuel E",40.0,PC 17601
"Van der hoef, Mr. Wyckoff",61.0,111240
"Walker, Mr. William Anderson",47.0,36967
"Ward, Miss. Anna",35.0,PC 17755
"Warren, Mr. Frank Manley",64.0,110813
"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",60.0,110813
"Weir, Col. John",60.0,113800
"White, Mr. Percival Wayland",54.0,35281
"White, Mr. Richard Frasar",21.0,35281
"White, Mrs. John Stuart (Ella Holmes)",55.0,PC 17760
"Wick, Miss. Mary Natalie",31.0,36928
"Wick, Mr. George Dennick",57.0,36928
"Wick, Mrs. George Dennick (Mary Hitchcock)",45.0,36928
"Widener, Mr. George Dunton",50.0,113503
"Widener, Mr. Harry Elkins",27.0,113503
"Widener, Mrs. George Dunton (Eleanor Elkins)",50.0,113503
"Willard, Miss. Constance",21.0,113795
"Williams, Mr. Charles Duane",51.0,PC 17597
"Williams, Mr. Richard Norris II",21.0,PC 17597
"Williams-Lambert, Mr. Fletcher Fellows",,113510
"Wilson, Miss. Helen Alice",31.0,16966
"Woolner, Mr. Hugh",,19947
"Wright, Mr. George",62.0,113807
"Young, Miss. Marie Grice",36.0,PC 17760
"Abelson, Mr. Samuel",30.0,P/PP 3381
"Abelson, Mrs. Samuel (Hannah Wizosky)",28.0,P/PP 3381
"Aldworth, Mr. Charles Augustus",30.0,248744
"Andrew, Mr. Edgardo Samuel",18.0,231945
"Andrew, Mr. Frank Thomas",25.0,C.A. 34050
"Angle, Mr. William A",34.0,226875
"Angle, Mrs. William A (Florence ""Mary"" Agnes Hughes)",36.0,226875
"Ashby, Mr. John",57.0,244346
"Bailey, Mr. Percy Andrew",18.0,29108
"Baimbrigge, Mr. Charles Robert",23.0,C.A. 31030
"Ball, Mrs. (Ada E Hall)",36.0,28551
"Banfield, Mr. Frederick James",28.0,C.A./SOTON 34068
"Bateman, Rev. Robert James",51.0,S.O.P. 1166
"Beane, Mr. Edward",32.0,2908
"Beane, Mrs. Edward (Ethel Clarke)",19.0,2908
"Beauchamp, Mr. Henry James",28.0,244358
"Becker, Master. Richard F",1.0,230136
"Becker, Miss. Marion Louise",4.0,230136
"Becker, Miss. Ruth Elizabeth",12.0,230136
"Becker, Mrs. Allen Oliver (Nellie E Baumgardner)",36.0,230136
"Beesley, Mr. Lawrence",34.0,248698
"Bentham, Miss. Lilian W",19.0,28404
"Berriman, Mr. William John",23.0,28425
"Botsford, Mr. William Hull",26.0,237670
"Bowenur, Mr. Solomon",42.0,211535
"Bracken, Mr. James H",27.0,220367
"Brown, Miss. Amelia ""Mildred""",24.0,248733
"Brown, Miss. Edith Eileen",15.0,29750
"Brown, Mr. Thomas William Solomon",60.0,29750
"Brown, Mrs. Thomas William Solomon (Elizabeth Catherine Ford)",40.0,29750
"Bryhl, Miss. Dagmar Jenny Ingeborg ",20.0,236853
"Bryhl, Mr. Kurt Arnold Gottfrid",25.0,236853
"Buss, Miss. Kate",36.0,27849
"Butler, Mr. Reginald Fenton",25.0,234686
"Byles, Rev. Thomas Roussel Davids",42.0,244310
"Bystrom, Mrs. (Karolina)",42.0,236852
"Caldwell, Master. Alden Gates",0.8333,248738
"Caldwell, Mr. Albert Francis",26.0,248738
"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",22.0,248738
"Cameron, Miss. Clear Annie",35.0,F.C.C. 13528
"Campbell, Mr. William",,239853
"Carbines, Mr. William",19.0,28424
"Carter, Mrs. Ernest Courtenay (Lilian Hughes)",44.0,244252
"Carter, Rev. Ernest Courtenay",54.0,244252
"Chapman, Mr. Charles Henry",52.0,248731
"Chapman, Mr. John Henry",37.0,SC/AH 29037
"Chapman, Mrs. John Henry (Sara Elizabeth Lawry)",29.0,SC/AH 29037
"Christy, Miss. Julie Rachel",25.0,237789
"Christy, Mrs. (Alice Frances)",45.0,237789
"Clarke, Mr. Charles Valentine",29.0,2003
"Clarke, Mrs. Charles V (Ada Maria Winfield)",28.0,2003
"Coleridge, Mr. Reginald Charles",29.0,W./C. 14263
"Collander, Mr. Erik Gustaf",28.0,248740
"Collett, Mr. Sidney C Stuart",24.0,28034
"Collyer, Miss. Marjorie ""Lottie""",8.0,C.A. 31921
"Collyer, Mr. Harvey",31.0,C.A. 31921
"Collyer, Mrs. Harvey (Charlotte Annie Tate)",31.0,C.A. 31921
"Cook, Mrs. (Selena Rogers)",22.0,W./C. 14266
"Corbett, Mrs. Walter H (Irene Colvin)",30.0,237249
"Corey, Mrs. Percy C (Mary Phyllis Elizabeth Miller)",,F.C.C. 13534
"Cotterill, Mr. Henry ""Harry""",21.0,29107
"Cunningham, Mr. Alfred Fleming",,239853
"Davies, Master. John Morgan Jr",8.0,C.A. 33112
"Davies, Mr. Charles Henry",18.0,S.O.C. 14879
"Davies, Mrs. John Morgan (Elizabeth Agnes Mary White) ",48.0,C.A. 33112
"Davis, Miss. Mary",28.0,237668
"de Brito, Mr. Jose Joaquim",32.0,244360
"Deacon, Mr. Percy William",17.0,S.O.C. 14879
"del Carlo, Mr. Sebastiano",29.0,SC/PARIS 2167
"del Carlo, Mrs. Sebastiano (Argenia Genovesi)",24.0,SC/PARIS 2167
"Denbury, Mr. Herbert",25.0,C.A. 31029
"Dibden, Mr. William",18.0,S.O.C. 14879
"Doling, Miss. Elsie",18.0,231919
"Doling, Mrs. John T (Ada Julia Bone)",34.0,231919
"Downton, Mr. William James",54.0,28403
"Drew, Master. Marshall Brines",8.0,28220
"Drew, Mr. James Vivian",42.0,28220
"Drew, Mrs. James Vivian (Lulu Thorne Christian)",34.0,28220
"Duran y More, Miss. Asuncion",27.0,SC/PARIS 2149
